"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,8,242.918758195447,242.918663174616,7530.6,6.584207733294,29,31,84001.9775616312,270.545972768426,290.034070407742,290.032598238624
200211,0,758.32964743991,758.32964743991,22749.9,29,30,30,17858167.3527031,1604.95006157548,290.8978634304,290.8978634304
200212,0,1688.67377500516,1688.67377500516,52348.9,30,31,31,7885790.39247346,1047.06988123031,291.761696644645,291.761696644645
200301,0,2246.56772995117,2246.56772995117,69643.6,30,31,31,1070440.30919273,385.775177884775,292.642983969032,292.642983969032
200302,0,3967.9858309723,3967.9858309723,111103.6,27,28,28,58559063.1938752,3021.73700319822,293.476483268,293.476483268
200303,0,3217.65110171558,3217.65110171558,99747.2,30,31,31,32598947.9420021,2128.89795599909,294.3106608,294.3106608
200304,0,1009.4513998669,1009.4513998669,30283.5,29,30,30,21326482.6335249,1753.89139037049,295.1737781016,295.1737781016
200305,6,1767.7315352502,1767.73142447648,54799.7,16.7817315901117,29,31,1706444.96655926,673.445917749996,296.0379856,296.033016458323
200306,0,1418.51335494927,1418.51335494927,42555.4,29,30,30,66602026.1746168,3099.46545484387,296.8990003792,296.8990003792
200307,0,2687.84589016071,2687.84589016071,83323.2,30,31,31,28739842.0051134,1998.91920668587,297.764707526194,297.764707526194
200308,0,1906.91132283415,1906.91132283415,59114.3,30,31,31,52971791.7316203,2713.78466619273,298.642679044645,298.642679044645
200309,0,1907.45386087879,1907.45386087879,57223.6,29,30,30,45411733.8118178,2559.33491386858,299.5063263728,299.5063263728
